Factory,Date,Location,Machine Type,Machine Utilization (%),Machine Downtime (hours),Maintenance History,Machine Age (years),Batch Quality (Pass %),Cycle Time (minutes),Energy Consumption (kWh),Energy Efficiency Rating,CO2 Emissions (kg),Emission Limit Compliance,Waste Generated (kg),Water Usage (liters),Shift,Operator Experience (years),Team Size,Operator Training Level,Absenteeism Rate (%),Product Category,Supplier,Supplier Delays (days),Raw Material Quality,Market Demand Index,Cost of Downtime ($),Revenue ($),Profit Margin (%),Breakdowns (count),Safety Incidents (count),Defect Root Cause,Production Volume (units),Defect Rate (%),Foam Density,Sales Data
Factory_3,04-02-2023,Location_B,Type B,54.20811025,8.393952355,None,19,95.66220515,32.15671656,376.75,D,10.74,Non-Compliant,17.93,3641.75,Night,8,4,Basic,10.08556225,Category B,Supplier Y,1,Medium,0.684371783,1922.5,80753.8,27.44,4,5,Operator Error,3173,4.13,0.71,45355.32
Factory_3,17-11-2021,Location_C,Type B,78.02984231,5.652341788,Major Repair,14,91.22236599,23.27618901,146.37,B,25.76,Compliant,15.69,4291.34,Evening,6,10,Intermediate,10.17092261,Category B,Supplier Y,9,Medium,0.760497948,7760.83,66572.27,9.91,2,0,Material,7995,8.79,1.01,7895.06
Factory_2,22-01-2023,Location_B,Type A,82.3941184,4.743176443,Major Repair,4,89.49331765,14.35908544,371.74,A,39.38,Compliant,3.43,4399.76,Evening,29,7,Intermediate,9.7770606,Category A,Supplier X,22,Low,0.864300803,1163.73,18749.5,5.47,3,4,Material,6616,5.94,0.53,19115.95
Factory_1,27-11-2023,Location_C,Type C,88.29330838,2.457301034,Major Repair,2,89.7222464,17.76916834,417.91,D,28.99,Non-Compliant,10.27,2882.67,Morning,19,9,Advanced,3.948312923,Category A,Supplier X,24,Low,0.526357868,7049.85,61347.51,29.81,4,0,Material,2902,2.61,1.93,11138.39
Factory_3,04-12-2021,Location_C,Type C,92.56060131,3.321731123,Major Repair,2,86.00012874,49.10465747,381.12,D,35.22,Compliant,16.37,3169.82,Evening,23,2,Basic,19.30308175,Category C,Supplier Y,12,High,0.639608429,1385.41,47655.73,10.75,2,1,Operator Error,8898,1.87,1.9,39656.56
Factory_4,23-09-2021,Location_B,Type B,90.26959906,6.481083816,Routine,9,87.68599563,52.9001923,296.59,D,31.34,Compliant,7.49,4332.77,Evening,10,10,Advanced,3.512917254,Category A,Supplier Y,16,Medium,0.628976407,4202.55,81828.99,16.09,0,0,Material,3479,5.21,0.65,14932.05
Factory_1,06-07-2023,Location_D,Type C,77.2779519,7.294604997,Routine,11,99.70844452,36.8537794,359.82,A,11.16,Compliant,16.29,4248.72,Morning,6,6,Advanced,11.58986576,Category A,Supplier X,25,High,0.549837728,3729.51,74352.03,10.69,1,0,Material,8307,1.88,1.19,38640.54
Factory_3,22-12-2020,Location_C,Type A,54.97426246,1.50750726,Routine,15,91.72182983,15.98350092,359.99,D,25.09,Compliant,12.35,4515.13,Evening,1,7,Advanced,11.17130307,Category B,Supplier Z,12,High,0.243226744,9839.44,17191.45,23.61,2,5,Machine Fault,9943,0.87,0.79,46353.86
Factory_4,29-12-2021,Location_C,Type C,88.47868121,0.386203803,Routine,16,98.90385195,35.35536271,422.3,B,34.22,Non-Compliant,19.22,2627.1,Morning,27,3,Intermediate,12.72006264,Category A,Supplier Z,15,Medium,0.011273498,1816,99452.14,11.83,0,3,Material,8528,3.56,0.68,48970.11
Factory_2,27-04-2023,Location_D,Type A,51.27171946,7.764053209,Routine,19,99.55311133,45.35826983,343.27,D,49.46,Compliant,4.02,3860.3,Evening,24,2,Advanced,10.39593904,Category A,Supplier Y,23,Low,0.114983936,2808.83,86827.83,23.67,3,5,Machine Fault,5779,3.7,1.16,21470.58
